sapVKORG,sapSEGMENT,sapFINOPER,sapHKONT,sapKOSTL
4100,0000000300,PI_KR,6123000001,1141000601
4100,0000000300,PR_KR,6123000001,1141000601
4101,0000000300,PI_KR,6123000001,1141000601
4102,0000000300,PI_KR,6123000001,1141000601
4103,0000000300,PI_KR,6123000001,1141000601
4104,0000000300,PI_KR,6123000001,1141000601
4105,0000000300,PI_KR,6123000001,1141000601
4106,0000000300,PI_KR,6123000001,1141000601
4107,0000000300,PI_KR,6123000001,1141070601
4100,0000000301,PI_KR,6123000001,1141000601
4101,0000000301,PI_KR,6123000001,1141000601
4102,0000000301,PI_KR,6123000001,1141000601
4103,0000000301,PI_KR,6123000001,1141000601
4104,0000000301,PI_KR,6123000001,1141000601
4105,0000000301,PI_KR,6123000001,1141000601
4106,0000000301,PI_KR,6123000001,1141000601
4107,0000000301,PI_KR,6123000001,1141070601
