center,finServ_finCode,transType,currency,sapHkont,description,active,flagKA,flag1T,flagIntKZ,flagTL_KA,flagTL_1T,flagTL_KA_FE,flagTL_1T_FE,flagTR_L_BBVA,flagTR_L_BMX
100,BBVA,E,MXN,1111102412,Bco Egr. Transferencia BBVA-00514,true,false,false,true,false,false,false,false,true,false
100,BBVA,I,MXN,1111102413,Bco Ingr. BBVA-00514,true,false,false,false,false,false,false,false,true,false
100,BMX,E,MXN,1111101052,Bco Egr. Transferencia BNMX-01410,true,false,false,false,false,false,false,false,false,true
100,BMX,I,MXN,1111101053,Bco Ingr. BNMX-01410,true,false,false,false,false,false,false,false,false,true
100,R00,E,MXN,1111108032,Bco Egr. Transferencia SCO-79852,true,false,false,false,false,false,false,false,false,false
100,R00,E,MXN,1111102412,Bco Egr. Transferencia BBVA-00514,true,false,false,false,false,false,false,false,true,false
100,R00,I,MXN,1111102413,Bco Ingr. BBVA-00514,true,false,false,false,false,false,false,false,true,false
100,R99,E,MXN,1111108032,Bco Egr. Transferencia SCO-79852,true,false,false,false,false,false,false,false,false,false
100,R99,E,MXN,1111102412,Bco Egr. Transferencia BBVA-00514,true,false,false,false,false,false,false,false,true,false
100,R99,I,MXN,1111102413,Bco Ingr. BBVA-00514,true,false,false,false,false,false,false,false,true,false
100,SCOTIA,E,MXN,1111108032,Bco Egr. Transferencia SCO-79852,true,false,false,false,false,false,false,false,false,false
100,SCOTIA,I,MXN,1111108033,Bco Ingr. SCO-79852,true,false,false,false,false,false,false,false,false,false
4107,BBVA,E,MXN,1111102492,Bco Egr. Transferencia BBVA-55024,true,false,false,false,false,false,false,false,true,false
4107,BBVA,E,MXN,1111102482,Bco Egr. Transferencia BBVA-35362,true,false,false,true,false,false,false,false,true,false
4107,BBVA,I,MXN,1111102483,Bco Ingr. BBVA-35362,true,false,false,false,false,false,false,false,true,false
4107,BBVA,I,USD,1111202103,Bco Ingr. BBVA-31691,true,false,false,false,false,false,false,false,true,false
4107,BMX,E,MXN,1111101091,Bco Egr. Cheque BNMX-67910,true,false,false,false,false,false,false,false,false,true
4107,BMX,I,MXN,1111101091,Bco Egr. Cheque BNMX-67910,true,false,false,false,false,false,false,false,false,true
4107,DAIMLER,E,MXN,1111102492,Bco Egr. Transferencia BBVA-55024,true,false,false,true,false,false,false,false,true,false
