RATE,DATE,RATEVALUE
CORP,2019-01-01,9.01
CORP,2019-02-01,9.02
CORP,2019-03-01,9.03
CORP,2019-04-01,9.04
CORP,2019-05-01,9.05
CORP,2019-06-01,9.06
CORP,2019-07-01,9.07
CORP,2019-08-01,9.08
CORP,2019-09-01,9.09
CORP,2019-10-01,9.10
CORP,2019-11-01,9.11
CORP,2019-12-01,9.12
CORP,2020-01-01,9.0437
CORP,2020-02-01,9.0437
CORP,2020-03-01,9.0437
CORP,2020-04-01,9.0437
LIBOR,2019-01-09,1.683630
LIBOR,2019-06-03,2.429880
LIBOR,2019-06-04,2.420880
LIBOR,2019-06-05,2.418500
LIBOR,2019-06-06,2.411630
LIBOR,2019-06-07,2.412130
LIBOR,2019-06-10,2.413380
LIBOR,2019-06-11,2.410630
LIBOR,2019-06-12,2.401130
LIBOR,2019-06-13,2.394250
LIBOR,2019-06-14,2.381750
LIBOR,2019-06-17,2.390250
LIBOR,2019-06-18,2.382880
LIBOR,2019-06-19,2.383380
LIBOR,2019-06-20,2.403630
LIBOR,2019-06-21,2.404380
LIBOR,2019-06-24,2.401750
LIBOR,2019-06-25,2.404130
LIBOR,2019-06-26,2.402380
LIBOR,2019-06-27,2.402380
LIBOR,2019-06-28,2.398000
LIBOR,2019-07-01,2.387750
LIBOR,2019-07-02,2.379500
LIBOR,2019-07-03,2.360000
LIBOR,2019-07-04,2.364130
LIBOR,2019-07-05,2.366500
LIBOR,2019-07-06,2.366500
LIBOR,2019-07-08,2.379380
LIBOR,2019-07-09,2.368630
LIBOR,2019-07-10,2.369130
LIBOR,2019-07-11,2.325000
LIBOR,2019-07-12,2.332000
LIBOR,2019-07-15,2.314130
LIBOR,2019-07-16,2.300380
LIBOR,2019-07-17,2.297880
LIBOR,2019-07-18,2.271500
LIBOR,2019-07-19,2.261130
LIBOR,2019-07-22,2.269130
LIBOR,2019-07-23,2.266000
LIBOR,2019-07-24,2.261750
LIBOR,2019-07-25,2.241130
LIBOR,2019-07-26,2.237000
LIBOR,2019-07-29,2.234380
LIBOR,2019-07-30,2.229750
LIBOR,2019-08-01,2.244130
LIBOR,2019-08-02,2.228500
LIBOR,2019-08-05,2.223000
LIBOR,2019-08-06,2.212750
LIBOR,2019-08-07,2.211250
LIBOR,2019-08-08,2.200880
LIBOR,2019-08-09,2.194250
LIBOR,2019-08-12,2.195250
LIBOR,2019-08-13,2.195130
LIBOR,2019-08-14,2.197380
LIBOR,2019-08-15,2.153130
LIBOR,2019-08-16,2.172130
LIBOR,2019-08-19,2.168630
LIBOR,2019-08-20,2.170000
LIBOR,2019-08-21,2.166630
LIBOR,2019-08-22,2.145250
LIBOR,2019-08-23,2.139500
LIBOR,2019-08-27,2.115880
LIBOR,2019-08-28,2.112000
LIBOR,2019-08-29,2.100250
LIBOR,2019-08-30,2.089000
LIBOR,2019-09-02,2.081880
LIBOR,2019-09-03,2.066880
LIBOR,2019-09-04,2.057250
LIBOR,2019-09-05,2.042130
LIBOR,2019-09-06,2.049000
LIBOR,2019-09-09,2.049500
LIBOR,2019-09-10,2.038630
LIBOR,2019-09-11,2.035880
